"noteWavNames";"notenames";"expected";"expected_notenames";"date";"rownum";"session"
-9;"c'";-9;"c'";"2017-09-23";"8";19
-26;"G";-9;"c'";"2017-09-23";"9";19
-7;"d'";-9;"c'";"2017-09-23";"10";19
-7;"d'";-7;"d'";"2017-09-23";"11";19
-41;"E,";-7;"d'";"2017-09-23";"12";19
-5;"e'";-7;"d'";"2017-09-23";"13";19
-41;"E,";-5;"e'";"2017-09-23";"14";19
-3;"f#'";-5;"e'";"2017-09-23";"15";19
-26;"G";-5;"e'";"2017-09-23";"16";19
-26;"G";-3;"f#'";"2017-09-23";"17";19
-41;"E,";-3;"f#'";"2017-09-23";"18";19
-41;"E,";-3;"f#'";"2017-09-23";"19";19
-42;"D#,";-2;"g'";"2017-09-23";"20";19
-26;"G";-2;"g'";"2017-09-23";"21";19
-26;"G";-14;"g";"2017-09-23";"1";20
-41;"E,";-14;"g";"2017-09-23";"2";20
-41;"E,";-14;"g";"2017-09-23";"3";20
-1;"g#'";-12;"a";"2017-09-23";"4";20
-41;"E,";-12;"a";"2017-09-23";"5";20
-26;"G";-10;"b";"2017-09-23";"6";20
-11;"a#";-10;"b";"2017-09-23";"7";20
-26;"G";-9;"c'";"2017-09-23";"8";20
-9;"c'";-9;"c'";"2017-09-23";"9";20
-9;"c'";-9;"c'";"2017-09-23";"10";20
-7;"d'";-7;"d'";"2017-09-23";"11";20
-7;"d'";-7;"d'";"2017-09-23";"12";20
-77;" ";-7;"d'";"2017-09-23";"13";20
-5;"e'";-5;"e'";"2017-09-23";"14";20
-5;"e'";-5;"e'";"2017-09-23";"15";20
-3;"f#'";-5;"e'";"2017-09-23";"16";20
-3;"f#'";-3;"f#'";"2017-09-23";"17";20
-41;"E,";-3;"f#'";"2017-09-23";"18";20
-41;"E,";-3;"f#'";"2017-09-23";"19";20
-26;"G";-2;"g'";"2017-09-23";"20";20
-26;"G";-2;"g'";"2017-09-23";"21";20
-38;"G,";-14;"g";"2017-09-24";"1";21
-14;"g";-14;"g";"2017-09-24";"2";21
-14;"g";-14;"g";"2017-09-24";"3";21
-12;"a";-12;"a";"2017-09-24";"4";21
-12;"a";-12;"a";"2017-09-24";"5";21
-37;"G#,";-10;"b";"2017-09-24";"6";21
-10;"b";-10;"b";"2017-09-24";"7";21
-10;"b";-9;"c'";"2017-09-24";"8";21
-9;"c'";-9;"c'";"2017-09-24";"9";21
-9;"c'";-9;"c'";"2017-09-24";"10";21
-7;"d'";-7;"d'";"2017-09-24";"11";21
-7;"d'";-7;"d'";"2017-09-24";"12";21
-5;"e'";-7;"d'";"2017-09-24";"13";21
-5;"e'";-5;"e'";"2017-09-24";"14";21
-5;"e'";-5;"e'";"2017-09-24";"15";21
-3;"f#'";-5;"e'";"2017-09-24";"16";21
-3;"f#'";-3;"f#'";"2017-09-24";"17";21
-2;"g'";-3;"f#'";"2017-09-24";"18";21
-2;"g'";-3;"f#'";"2017-09-24";"19";21
-2;"g'";-2;"g'";"2017-09-24";"20";21
-2;"g'";-2;"g'";"2017-09-24";"21";21
-37;"G#,";-14;"g";"2017-09-24";"1";22
